,,,Sharing out HC, Full-time ,13.2933121349378,15.973038865468,13.9754058269017,12.9770003062101,15.7217107623714,14.1816095861307,12.8983022697167,12.3490920232018,10.2655112185946,9.85258416160159,14.4370076919519,14.8868632849032,,,,,,Sharing out HC,Full-time,3.6975943126293,2.13066736418841,4.16309076284124,4.38703606404878,3.56161992191156,4.60789931929713,5.02379910978465,4.79874923381688,2.94139674146988,4.57790415395251,3.72299082285426,3.88880073212096
,,,,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional POKKT Brand Allocation%,,,,,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,Regional POKKT App Allocation%,,,,,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00
Local brand GP/ TT: brand GP,,,,,,,,,,,,,,,,,,,Local App GP/ TT: App GP,,,,,,,,,,,,,,,,
,Vietnam,,,,0.000652409867734998,9.79113553169221e-06,0.0273759688084279,0,0.049821895430411,0.0391564225073024,0.0298247055489464,0.0118281898700175,0.010388971642934,0.0191319140002091,0.00966184442340841,0.0326391177827501,,,,,,,,,,,,,,,,,,,
,Hong Kong,,,,0.0156371254012674,0.00734773051081374,0.00374001518174585,0.00178098854837115,0.00255457414237254,0.00889098838404834,0,0.00611440232197979,0.0136762452167967,0.00888602878643654,0,0,,,,,,,,,,,,,,,,,,,
,Singapore,,,,0.036252759436084,0.0599168451284664,0.0170655904937749,0,0,0.000347498150130309,0.00236556072285542,0.00408348649886836,0,0,0,0,,,,,,,,,,,,,,,,,,,
,Indonesia,,,,0.098003871202811,0.0416064408191039,0.0906737635606104,0.0924196647454048,0.0940709522930342,0.0558925953188164,0.0588165088546361,0.0639978234434388,0.0486674775535407,0.0617611669880819,0.0727936918701772,0.0828668070229415,,,,,,,,,,,,,,,,,,,
,Taiwan,,,,0.00192875139469275,0,0.00126268809045378,0.00291042709770732,0.00813425684717955,0.00708730750956245,0.0110673919747851,0.00131630568580946,0.000576615485011169,0,0,0,,,,,,,,,,,,,,,,,,,
,Philippines,,,,0.10977054917446,0.128243137174524,0.148002975040118,0.143488365496561,0.113243091117739,0.139727351414301,0.200071107590695,0.157079660764992,0.0980345253646317,0.103553271124291,0.170970969713712,0.147556369716372,,,,,,,,,,,,,,,,,,,
,Malaysia,,,,0,0.00903621971520574,0.0106623495584868,0.012939512719064,0.00321845543322354,-0.000675139263110315,0.00315112216365357,0,0,0.0173412321882365,0.00414653395057947,0,,,,,,,,,,,,,,,,,,,
,Cambodia,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Total,,,,,0.315266712870751,0.30321798052141,0.326791188395291,0.29861369154203,0.331661746841973,0.276136922871406,0.336464397674283,0.282950038542231,0.207659304632637,0.218828667998337,0.263316784429746,0.299764830645592,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocated SG&As based on regional POKKT brand GP,,,,,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,Allocated SG&As based on regional POKKT App GP,,,,,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00
IT platform,,,,,,,,,,,,,,,,,,,IT platform,,,,,,,,,,,,,,,,
,Thailand,,,,889.56,1430.6896,1098.76,1434.596,1620.28,1209.56,1077.12,1194,1384.4,357,220.44,1419.88,,,,Thailand,,,,,,,,,,,,,,,
,Vietnam,,,,17.84,0.6,1288.796,0,1651.24,1400.36,1451.56,388.68,546.48,831.24,501.48,2571.32,,,,Vietnam,,,,,,,,,,,,,,,
