(千円),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,PMとGROVEには韓国案件が含まれている,Unnamed: 7,Unnamed: 8
粗利,215300,210490,174189.75227106665,166483.6737839303,210896.2760660766,176983.67968684854,-33912.59637922805,
人件費,28123,28539,31676.215000000004,31938.04999999998,31278.670999999853,34725.347,3446.6760000001486,
その他販管費,101031,82077,84028.43000000001,73589.508,76179.916,66077.04400000001,-10102.871999999988,
管理部門コスト,27841,45149,16313.015773505518,19788.977156630503,18490.9599146524,20804.087046046636,2313.1271313942343,
エンジニアコスト,9019,8298,10048.951751083614,9882.973901337844,9886.225251841508,10449.690357301926,563.4651054604183,
営業利益,49287,46428,32123.139746477507,31284.16472596198,75060.50389958284,44927.511283499975,-30132.99261608286,
粗利率,0.419,0.407,0.35457899258653364,0.3506475941688587,0.3435048716863071,0.3656099683739117,,
営業利益率,0.096,0.09,0.06538955582356822,0.06589064769785062,0.12225748714812489,0.09281051229436936,,
1人当たり粗利益,4033,3930,3169.0329594159903,2977.6348532969605,3795.054262965678,3063.683400924534,,
1人当たり営業利益,923,867,584.4160594367074,559.531256891925,1350.7051457618613,777.719566050681,,
"人数(正社員=1, Intern&Part Time=0.3)",53,54,54.9662166666665,55.9113799999999,55.5713466666666,57.768266666666605,,
前月比_売上,1.036,1.007,0.8764966380432372,0.9664762531018782,1.2931092641212392,0.7884591211286727,,
前月比_粗利,1.109,0.965,0.8275440746404421,0.9557604371860838,1.2667685141294207,0.8391977468174792,,
