Unnamed: 0,HR Data Sheet,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Country,AJP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local Employee Expense,,,,,,,,,,,,,,,,,,,,FTE by Contract type,,,,,,,,,,,
,Location,Department,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,,,Department,Contract type,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00
,,,,,,,,,,,,,,,,,,,Located overseas,,4.63868666666666,5.07351999999999,4.32992666666666,11.7463533333333,10.6060266666666,10.2502999999999,10.1586199999999,12.1011133333333,4.11918333333333,4.52320666666666,4.53632999999999,4.32121666666666
,,,,,,,,,,,,,,,,,,,,,309.007396666666,321.574443333333,335.203506666666,355.488583333333,354.362909999999,353.415833333333,348.2559,344.804953333333,326.312516666666,327.703586666666,333.381063333333,316.717996666666
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regional Employee Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Location,Type,Department,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,,,,,,,,,,,,,,,
,AJP,Regional,DM,0,0,0,5354.98662071999,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,IM,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,PG,0,0,0,0,0,10400.77177104,10914.997012192,10819.523337588,10828.9543662999,10673.384937992,10323.0455947079,10230.670744336,,,,,,,,,,,,,,,,,
,AJP,Regional,CG,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,D2C,0,0,0,4127.9349012,19577.316333825,11155.9584421949,14995.209109088,11126.0770837919,10943.7444221999,10786.605929568,10437.4451964419,9762.71278380398,,,,,,,,,,,,,,,,,
,AJP,Regional,POKKT,696.86068914,713.243888729999,721.92244536,738.878726519999,754.69642785,751.589437409999,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,Corporate,68275.60352998,72634.22470488,82060.4771484,78351.95975904,65656.03950225,46936.22719863,50538.4798452,57769.87132386,55088.38213625,50402.7986504,49204.6755321,44928.7680474399,,,,,,,,,,,,,,,,,
,AJP,Regional,[Dept 1],0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,[Dept 2],0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,[Dept 3],0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,[Dept 4],0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,[Dept 5],0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,AJP,Regional,[Dept 6],0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Regional FTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
