(千円),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,GROVEには韓国案件が含まれている,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
ALL,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,差額分,,"累計
（1月 - 7月）",,,,,,,,7,July,,,,,,,,
"人数(正社員=1, Intern&Part Time=0.3)",87,83,88.15704333333332,96.86579846666656,106.0566292,116.0756266666667,111.395973333333,110.8634136,128.38936,130.5137833333326,126.8418866666666,134.35374666666598,137.3909366666663,129.085993333333,,,,,,,,,,,,ENGAWA,536449.0393557452,322443.7853965945,0.05463053917674521,798.5718192709174,0.6010706735235041,-121019.67233680334,-252.47804174328448,-0.22559397716909577
前月比_売上,,1.0284503855163085,0.6261386342970469,1.253419465235847,1.309791527686139,0.7764301769528112,1.1149065153411668,1.0969017852880802,1.0280812354281756,0.9823940320050957,0.8340774381115751,0,0,0,,,,,,,,,,,,LYFT,978741.5518009819,547670.0631231985,0.09278985111337305,1991.4290069547067,0.5595655585638835,21185.62112319877,-68.87023669034174,0.02164577674690026
前月比_粗利,,1.1769103161831322,0.6134400085148202,1.0055324605851224,1.3509427718683247,0.9957078201350252,0.9966407883412377,0.9741816386305759,1.0483012327398065,1.075545128172787,0.9807722673377641,0,0,0,,,,,,,,,,,,AnyReach,68116.46965150221,65070.71819396291,0.011024707501128916,1133.4851152899075,0.955286122825772,-21261.946305787395,-228.7737135690212,-0.31214104921420416
前月比_人件費,,0.9589477357996684,1.1107371593649018,1.1539432204564648,0.9409008098974097,1.1761176930016415,0.8963419890613172,1.223864378939329,0.9340159947279613,1.0209724822941948,0.958867402366839,0,0,0,,,,,,,,,,,,,,,,,,,,
前月比_販管費(人件費以外),,1.703574632530536,0.8877811354383977,0.5999141548613631,1.693829320355996,0.7051091861059998,1.2542620735915344,1.0301729319164374,1.977456667141616,0.8509217676458484,0.48103568414229353,0,0,0,,,,,,,,,,,,Check,-,-,,,,-,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,差額分,,"累計
（1月 - 7月）",,,,,,,,,,,,,,,,,
売上高,441716,448927,264012.49095632386,358106.98290461145,456745.32182654046,357588.11472359404,420806.2551161151,482993.34803594666,395807.2910592775,378449.90603488643,435738.9656659724,0,0,0,-87186.05697666918,,2736059.804622409,,,,,,,,,,,,,,,,,
原価,242013,219882,122612.49413371012,215377.49300207326,268827.96766512946,162392.8873760461,212374.67093611523,274942.05249991413,240086.78898863893,189434.86039598027,182303.66799608144,0,0,0,-34855.2635112752,,1496614.3546016272,,,,,,,,,,,,,,,,,
粗利,199703,229045,141399.99682261376,142729.4899025382,187917.354161411,195195.22734754795,208431.58417999986,208051.29553603253,155720.50207063855,189015.04563890616,253435.29766989095,0,0,0,-52330.793465393974,,1239445.450020782,,-52330.793465393974,-0.251528323005952,,,,,,,,,,,,,,
人件費,38220,36126,37362.792199999836,45254.07849000001,42895.98651999993,50895.90079962554,51121.530450491286,64989.74726309505,51621.23941354078,51252.57919999985,62546.31819999985,0,0,0,-13368.50784955427,,344141.2751367524,,-13368.50784955427,-0.20570179778412037,,,,,,,,,,,,,,
その他販管費,15596,27575,31778.50600000001,19149.950000000004,30349.658333333326,19322.16336363637,25387.284999999996,29026.994000000006,34008.787,30911.94099999999,32846.029999999984,0,0,0,4981.792999999991,,189023.34369696968,,,,,,,,,,,,,,,,,
管理部門コスト,37965,58573,20561.53066974463,27840.067244841408,28796.197985731385,34300.80946278344,51685.952565052125,46135.11862972202,51629.54316005678,55655.04976656437,49119.386482186164,0,0,0,5494.424530334763,,260949.21971793176,,,,,,,,,,,,,,,,,
