(千円),Unnamed: 1,Unnamed: 2,Done,PMとGROVEには韓国案件が含まれていないため、ピュアなJP業績になります,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
その他販管費,15596,27575,31778.50600000001,19149.950000000004,30349.658333333326,19322.16336363637,25387.284999999996,29026.994000000006,34008.787,30911.94099999999,32846.029999999984,0,0,0,34008.787,,
管理部門コスト,37965,58573,20561.53066974463,27840.067244841408,28796.197985731385,34300.80946278344,51685.952565052125,46135.11862972202,51629.54316005678,55655.04976656437,49119.386482186164,0,0,0,51629.5431600567,,
エンジニアコスト,8054,7120,9142.282185408225,8920.317000553165,9135.426332839606,10653.69025377736,11761.03787000826,12714.840623994576,12542.230110849287,12586.362353074357,11739.522078006265,0,0,0,12542.2301108493,,
営業利益,99867,99650,42554.88576746106,41565.07716714361,76740.08498950675,80022.66346772523,63746.14229444819,52997.7960192209,3520.9473861917213,38609.11331926758,97184.0409096987,0,0,0,-29493.9736844468,,42554.88576746106
粗利率,0.452,0.51,0.5355807079825092,0.3985666203570146,0.41142699263984345,0.545866093727496,0.49242233008953457,0.4297878480668111,0.391599985114322,0.4994453496349456,0.5816218370155326,0,0,0,,,
営業利益率,0.226,0.222,0.16118512276944127,0.11606888206984574,0.1680150432250088,0.22378446087219814,0.15409780909465637,0.11064466717988913,0.008992813984644753,0.10201908549478804,0.22303270665997263,0,0,0,,,
1人当たり粗利益,2743,3296,2040.9500149479206,1814.540096164566,2171.4022028583604,2049.387821560324,1984.1232841442616,1982.0694256098716,1475.6891694386377,1802.3506277520517,2487.192572180032,0,0,0,,,
1人当たり営業利益,1372,1434,614.2319426793412,528.422676851556,886.738696047324,840.1715256468665,620.9081765336116,510.2643383485029,33.88814786609969,368.15672208905073,953.7559562831159,0,0,0,,,
"人数(正社員=1, Intern&Part Time=0.3)",73,69,69.28146,78.6587687999999,86.5419377,95.2456266666667,102.665973333333,103.8634136,103.89908,104.871406666666,101.89613,108.951556666666,112.392083333333,107.243953333333,,,
前月比_売上,1.194,1.016,0.5880967082762317,1.3564016672372288,1.2754437741533882,0.7829048216489372,1.15684285378409,1.1578968669403038,0.8174037065865968,0.9665948491093705,1.1513781843185473,0,0,0,,,
前月比_粗利,1.153,1.147,0.617345922515723,1.0094023557977323,1.3165979524604832,1.0387291169493884,1.043580578009244,1.0106162379660786,0.7447750809416642,1.2327919323792411,1.3408207627770177,0,0,0,,,
前月比_人件費,1.051,0.945,1.034235514587827,1.2112070813058828,0.9478921668790328,1.1864956358072265,1.0044331595928333,1.271279374666501,0.7942982022158797,0.9928583618346012,1.2203545494935801,0,0,0,,,
前月比_販管費(人件費以外),1.048,1.768,1.1524390208522215,0.6026069948033428,1.5848426932359259,0.636651759022099,1.3138945428739088,1.1433673982861898,1.1716262111054279,0.9089398278156758,1.0625676983532024,0,0,0,,,
,,,,,,,,,,,,,,,,,
PM,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,4月（見込み）,,"累計
（1月）"
