Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,SUM of Amount,,Month (YYMM),,,,,,,,,,何目的の契約なのか,
,科目,Vendor Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,Grand Total,Comment,Next steps
,,VEN0029438 株式会社UPSIDER,15364,2909,29191,43261,132648,,95095,60764,100616,479848,交通費および宿泊費,継続 & 金額ステイ
,交通費および宿泊費 Total,,19906,4844,39968,47889,325770,326179,140297,114797,142842,1162492,,
,交際費,VEN0000649 Expense Claims for AJP,360689,269503,70584,189151,29191,76909,282156,36182,293169,1607534,交際費,継続 & 金額ダウン
,,VEN0029438 株式会社UPSIDER,196118,176281,538934,227994,348076,338410,128918,233658,179265,2367654,交際費,継続 & 金額ステイ
,交際費 Total,,556807,445784,609518,417145,377267,415319,411074,269840,472434,3975188,,
,人材採用 (中途採用),VEN0002846 株式会社ジェイエイシーリクルートメント,,,,,2500000,,,,,2500000,エージェントコスト,ショット
,,VEN0003360 エン・ジャパン株式会社,,,,,,780000,,,,780000,エージェントコスト,ショット
,,VEN0017809 パーソルキャリア株式会社,,,,1188000,,,,,,1188000,エージェントコスト,ショット
,,VEN0018900 株式会社リクルート,1209000,,,,,,,,,1209000,エージェントコスト,ショット
,,VEN0029438 株式会社UPSIDER,,7990,,,,,,,,7990,エージェントコスト,継続 & 金額ステイ
,,VEN0056424 ＨＥＲＯＺ株式会社,,,,,,100000,,,,100000,エージェントコスト,ショット
,,VEN0065442 株式会社インディードリクルートパートナーズ,,,,,,1404000,,,,1404000,エージェントコスト,ショット
