投稿日,アカウント名,PR/通常,sns,担当者,タイトル,URL,種別,更新日,動画尺,再生数,いいね,コメント,共有,保存,いいね率,コメント率,共有率,保存率,平均 視聴時間,視聴 維持率,1秒継続率,3秒継続率,6秒継続率,フル視聴率,新規 フォロー,フォロー率,おすすめ率
2025-12-10 00:00:00,モテコスメちゃん,通常,YT,Maya,【最新保存版】セリアで見つけたら強運！バズり優秀アイテムを厳選 #shorts #コスメ #美容 #メイク #モテる,https://youtube.com/shorts/vH8eN5Chf7U?si=IwhAyxV_QVBwW8dN,単品,2026-01-22 09:16:09,38.0,132368.0,3035.0,2.0,,,0.02292850236,1.5109392e-05,0,0,10.4,0.2736842105,71.0,38.0,30.0,20.32,27.0,0.000203976792,62.0
2025-12-08 00:00:00,怪獣ちゃん,通常,TikTok,Hina,キャンメイクのクリーミータッチライナーを超える？！ 最近話題のコスパ最強ブランドミニュムから粘膜ライナーが登場✨ なんとブラシ付きで880円！ 粘膜苦手な子はこれが一番かも！！ #ミニュム #粘膜ライン #クリーミータッチライナー #おすすめ #コスメ怪獣ちゃん,https://www.tiktok.com/@cosme_kaiju/video/7581424925978676481?is_from_webapp=1&sender_device=pc&web_id=7547609595666515474,単品,2026-01-22 09:08:00,25.0,164200.0,3322.0,14.0,38.0,963.0,0.02023142509,8.526187576e-05,0.0002314250914,0.005864799026,10.4,0.416,71.0,38.0,30.0,20.32,27.0,0.0001644336175,62.0
2025-12-03 00:00:00,怪獣ちゃん,通常,IG,Hina,女の子が大好きな流行りの美容情報を発信する🥰コスメ怪獣ちゃんです😈💄🖤  今回はこれ買って間違いなし！【wakemake💛おすすめコンシーラー】を紹介します💄 参考になったら嬉しいです🥰  コスメ怪獣ちゃんでは『コメント欄』と『DM』を解放しています!! 紹介した商品で気になった事や、紹介してほしい商品がある方はぜひ『コメント欄』や『DMに』✍🏻  この投稿が参考になったらあとで見返せるように『保存』をお願いします🥰 『いいね』を押していただけるととても励みになります！  #美容 #コスメ #コスメ紹介 #コスメレビュー #コスメ購入品 #コスメ好きな人と繋がりたい #コスメ好きさんと繋がりたい #メイク #メイク好き #メイク好きさんと繋がりたい #可愛くなりたい #美容好き #美容好きな人と繋がりたい #スキンケア #垢抜けコスメ #かわいくなりたい #バズりコスメ #落ちないベースメイク #コンシーラー #wakemake #韓国コスメ,https://www.instagram.com/reel/DRy6V9Rk6xx/?igsh=eXY3M3VkcnFybWkw,単品,2026-01-07 16:36:24,12.9,123886.0,1648.0,7.0,,,0.01330255235,5.650355972e-05,0,0,10.4,0.8062015504,71.0,38.0,30.0,20.32,27.0,0.0002179423018,62.0
2025-12-16 00:00:00,Sakurabeauty,通常,TikTok,Riho,These are Japanese favorites! You should totally check them out☝️💗 #jbeauty #japanesemakeup #jbeautymakeup #japanhaul #japan,https://www.tiktok.com/@asianbeautymonster/photo/7584406163840634143?is_from_webapp=1&sender_device=pc&web_id=7584429213861414430,単品,2026-01-22 09:07:34,-,206900.0,13700.0,30.0,875.0,7929.0,0.06621556307,0.0001449975834,0.004229096182,0.03832286129,-,-%,-,-,-,5.3/12,47.0,0.0002271628806,96.0
2025-12-28 00:00:00,Sakurabeauty,通常,TikTok,Riho,"Popular Daiso items in Japan!! All of these went viral, so they’re seriously useful✨ #jbeauty #daiso #daisofinds #daisojapan #daisohaul",https://www.tiktok.com/@sakurajkbeauty/video/7588888301688409374?is_from_webapp=1&sender_device=pc&web_id=7584429213861414430,単品,2026-01-22 09:06:26,27.0,172600.0,23600.0,39.0,562.0,5991.0,0.1367323291,0.0002259559676,0.00325608343,0.03471031286,8.8,0.3259259259,78.0,51.0,38.0,21.0,143.0,0.0008285052144,88.0
2025-12-19 00:00:00,成分オタクちゃん,通常,TikTok,Riho,アソコがSHIROの匂いになるってバズってて、半信半疑で使ってみたら革命起きたああああああ‼️マツキヨ限定やから、匂い悩んでる人試してみて‼️ #ファムケア #マツキヨ #サマーズイブ #デリケートゾーン,https://www.tiktok.com/@seibun_otakuchan/video/7586150589713698069?is_from_webapp=1&sender_device=pc&web_id=7584429213861414430,単品,2026-01-22 09:06:32,16.0,240400.0,2423.0,24.0,105.0,1732.0,0.01007903494,9.983361065e-05,0.0004367720466,0.007204658902,6.7,0.41875,78.0,35.0,27.0,16.0,16.0,6.655574043e-05,94.0
2025-12-26 00:00:00,モテコスメちゃん,通常,TikTok,Maya,イエベ、ブルベ別に厳選。ガチで盛れる今いちばん可愛いリップはこれだよー！！！💖 #リップ #おすすめコスメ #イエベ #ブルベ #おすすめリップ,https://www.tiktok.com/@mote_cosme/photo/7588104514918419713?is_from_webapp=1&sender_device=pc&web_id=7550509021708797447,単品,2026-01-23 09:07:46,,158600.0,6941.0,6.0,29.0,2259.0,,,,,,,,,,,,,
2025-12-18 00:00:00,kana,通常,TikTok,Ryusei,part4 | pov : my sister wants to introduce japanese daily makeup but she cant speak english fluently #jbeauty #japan #cosmetics #makeups #sister,https://www.tiktok.com/@__kanachan__/video/7584996291797617950,単品,2026-01-22 09:06:48,47.0,117600.0,11200.0,81.0,99.0,818.0,0.09523809524,0.0006887755102,0.0008418367347,0.006955782313,,0,,,,,,0,
2025-12-12 00:00:00,Maya grant,通常,TikTok,Riho,"I asked my Japanese friend what makeup I should buy, and she was like, ‘You can just get them at Donki or any drugstore! ① Heavy Rotation Coloring Eyebrow EX ② Heroine Make Long & Curl Mascara Advanced Film #jbeauty #japanesemakeup #jbeautyskincare #japanhaul #donquixote",https://www.tiktok.com/@mayas_beautytalk/video/7582768800076991799?is_from_webapp=1&sender_device=pc&web_id=7547566685814588946,単品,2026-01-22 09:08:36,29.0,155900.0,14700.0,17.0,475.0,3933.0,0.09429121232,0.0001090442591,0.003046824888,0.02522771007,8.7,0.3,79.0,50.0,36.0,9.0,39.0,0.0002501603592,97.0
2025-12-30 00:00:00,怪獣ちゃん,通常,YT,Hina,毛穴ヤバい子はこのチーク使ったらまじで人生変わります #コスメ #美容 #メイク #おすすめ #購入品紹介,https://youtube.com/shorts/Lda_FEAVJG4?si=rLnV77uGi4aZC6-w,単品,2026-01-22 09:16:19,20.0,154584.0,1016.0,4.0,,,0.006572478394,2.587589919e-05,0,0,,0,,,,,,0,
2025-12-12 00:00:00,デパコス,通常,TikTok,Moeka,みんなの買ってよかったデパコスは？？ #デパコス #下地 #ディオール #ハイライト #下地おすすめ,https://www.tiktok.com/@buzzcosme_review/video/7582893194824666388?is_from_webapp=1&sender_device=pc&web_id=7539816830442046984,単品,2026-01-22 09:08:31,36.0,148700.0,2919.0,10.0,35.0,776.0,0.01963012777,6.724949563e-05,0.0002353732347,0.005218560861,10.4,0.2888888889,71.0,38.0,30.0,20.32,27.0,0.0001815736382,62.0
2025-12-03 00:00:00,モテコスメちゃん,通常,IG,Maya,すきぴに可愛くみられたい、モテコスメちゃんです☺️🎀  今回は崩れないベースメイクの組み合わせ！【fwee下地とキャンメイクのパウダーでつくる🌷最強ノーファンデメイク】を紹介します💄💕 参考になったら嬉しいです🥰🥰🥰  モテコスメちゃんでは『コメント欄』と『DM』を解放しています!! 紹介した商品で気になった事や、紹介してほしい商品がある方はぜひ『コメント欄』や『DMに』✍🏻  この投稿が参考になったらあとで見返せるように『保存』お願いします💓 『いいね』を押していただけるととても励みになります！ ーーーーーーーーーーーーーーーーーーーーーーーーー #モテコスメ #化粧下地 #canmake,https://www.instagram.com/reel/DRy6VDmEoi6/?igsh=YWpnNjh6MjFlOWxq,単品,2026-01-07 16:36:31,19.833,102374.0,4691.0,6.0,,,0.04582218141,5.86086311e-05,0,0,10.4,0.524378561,71.0,38.0,30.0,20.32,27.0,0.0002637388399,62.0
2025-12-25 00:00:00,コスメ俱楽部,通常,YT,Moeka,品揃いヤバすぎるキャンメイクの宝の山に遭遇したのでおすすめ語らせて #コスメ #美容 #メイク #プチプラ #おすすめ,https://youtube.com/shorts/EITi-TbLO4Y?si=X_06FBXCypWkCUnC,単品,2026-01-22 09:15:42,24.0,109404.0,935.0,5.0,,,,,,,,,,,,,,,
